,Index,Name,Bond length
626,77 75,Si Si,2.844396622702938
627,77 76,Si O,1.5972881326045496
628,77 96,Si Si,2.9379437749816497
629,77 101,Si O,1.6053650403692683
630,78 23,O O,2.6218530026368816
631,78 56,O O,2.6433828644108974
632,78 60,O O,2.650535211678052
633,78 61,O O,2.565903683999352
634,78 64,O Si,1.591603262249675
635,78 76,O O,2.7915191808456963
636,78 131,O O,2.634089222168879
637,78 163,O Si,1.6143989744304506
638,78 175,O O,2.5791061465379386
639,79 56,O O,2.5255155868490777
640,79 58,O O,2.629705258502908
641,79 72,O O,2.6865348930321136
642,79 81,O Si,1.6111632027255
643,79 87,O Si,1.6199695398616896
644,79 94,O O,2.6432940863222383
645,79 102,O O,2.5640755744961434
646,79 177,O O,2.7134078149406373
647,80 70,Si Si,3.0997022948494317
648,80 74,Si O,1.6078829509846462
649,80 83,Si Si,2.9278298468877137
650,80 86,Si Si,3.088573675474123
651,80 105,Si O,1.6307035342481844
652,80 186,Si O,1.6135138021406057
653,80 199,Si O,1.6054828478489107
654,80 213,Si Si,2.9020724610657296
655,81 53,Si Si,3.0205795187578848
656,81 56,Si O,1.5912264097629487
657,81 58,Si O,1.608750000707658
658,81 64,Si Si,3.120867269851941
659,81 79,Si O,1.6111632027255
660,81 87,Si Si,2.997100090544835
661,81 176,Si Si,3.0559469173842104
662,81 177,Si O,1.6038636754827862
663,82 60,O O,2.633479798923051
664,82 68,O Si,1.5773659723444795
665,82 69,O O,2.600641057208424
666,82 76,O O,2.5570621528375925
667,82 98,O O,2.5920413024478917
668,82 183,O O,2.5819859804055607
669,82 192,O O,2.537090911699971
670,82 215,O Si,1.5855747747869082
671,83 57,Si O,1.5989787857456932
672,83 65,Si Si,3.049890044523737
673,83 71,Si O,1.6218547343407006
674,83 75,Si Si,3.180440025385219
675,83 80,Si Si,2.9278298468877137
676,83 170,Si Si,3.0746012813109043
677,83 173,Si O,1.5949542887397965
678,83 186,Si O,1.6226854093264402
679,84 21,O O,2.6600018686455753
680,84 48,O O,2.6002336429714097
681,84 49,O O,2.650717436012774
682,84 52,O Si,1.6215377743354997
683,84 53,O Si,1.621747103848639
684,84 58,O O,2.5730440273818975
685,84 97,O O,2.7182567237965127
686,84 130,O O,2.769092469977635
687,85 41,Si Si,3.249153638032074
688,85 51,Si O,1.626364306482665
689,85 90,Si Si,3.023493433974839
690,85 92,Si O,1.6164229692593004
691,85 106,Si O,1.6140321351709566
692,85 201,Si O,1.6304220406487597
693,85 206,Si Si,2.9793382753604867
694,85 213,Si Si,3.0538912491521106
695,86 75,Si Si,2.896098683888384
696,86 80,Si Si,3.088573675474123
697,86 90,Si Si,2.911435562983989
698,86 99,Si O,1.5923040618247564
699,86 104,Si O,1.6051571745531577
700,86 105,Si O,1.6107353912081765
701,86 108,Si O,1.629266718517483
702,86 190,Si Si,3.018010982932067
703,87 63,Si Si,3.2588182851810443
704,87 72,Si O,1.6425804914619917
705,87 79,Si O,1.6199695398616896
706,87 81,Si Si,2.997100090544835
707,87 88,Si Si,3.1375243202146668
708,87 94,Si O,1.6668726068791107
709,87 102,Si O,1.6061690311640946
710,87 196,Si Si,3.0136361474652524
711,88 87,Si Si,3.1375243202146668
712,88 90,Si Si,2.8841612449932024
713,88 95,Si O,1.63626247762701
714,88 96,Si Si,3.0006213137157163
715,88 100,Si Si,2.99921282432364
716,88 102,Si O,1.6028746442569706
717,88 103,Si O,1.6235058801975821
718,88 107,Si O,1.5925456446899584
719,88 212,Si Si,3.396960563108958
720,89 47,O O,2.810785161515969
721,89 76,O O,2.7962015444941772
722,89 91,O O,2.4177775599326154
723,89 96,O Si,1.6403311224672308
724,89 101,O O,2.551596292947666
725,89 103,O O,2.625998186655898
726,89 188,O O,2.7349712524892635
727,89 208,O O,2.710390433213332
728,89 212,O Si,1.618705854117524
729,90 85,Si Si,3.023493433974839
730,90 86,Si Si,2.911435562983989
731,90 88,Si Si,2.8841612449932024
732,90 93,Si O,1.6179700202059797
733,90 104,Si O,1.614743042422612
734,90 106,Si O,1.5966998948457407
735,90 107,Si O,1.5870533458954321
736,90 190,Si Si,2.9565142999001144
737,91 31,O O,2.6919402957373517
738,91 47,O O,2.966997965347455
739,91 89,O O,2.4177775599326154
740,91 94,O O,2.475939644562725
741,91 102,O O,2.508278060184673
742,91 103,O O,2.8587073866303867
743,91 188,O O,2.683148590505997
744,91 196,O Si,1.6028691290099746
745,91 197,O O,2.502736530609547
746,91 208,O O,2.5733167790224347
747,91 212,O Si,1.6132264494305995
748,92 51,O O,2.5992072243155118
749,92 85,O Si,1.6164229692593004
750,92 106,O O,2.7080885802086105
751,92 149,O O,2.6234530427464673
752,92 199,O O,2.682936124369785
753,92 201,O O,2.605498044211725
754,92 204,O O,2.6409188021510923
755,92 213,O Si,1.621776855799016
756,93 90,O Si,1.6179700202059797
757,93 104,O O,2.6309549533455603
758,93 106,O O,2.7266091004349082
759,93 107,O O,2.622252821277376
