,Index,Bond length 1,Bond length 2,Bond length 3,Dihedral angle,Bond name
619,124 133 137 140,1.5974775903028062,1.6246297163253085,1.6255956859490672,-80.63398323412292,O Si O Si
620,128 133 137 140,1.6399082261021134,1.6246297163253085,1.6255956859490672,45.78723706729353,O Si O Si
621,133 137 140 143,1.6246297163253085,1.6255956859490672,1.5994053067232825,113.54421187365169,Si O Si O
622,133 137 140 149,1.6246297163253085,1.6255956859490672,1.600042539968093,-10.425191877851619,Si O Si O
623,133 137 140 152,1.6246297163253085,1.6255956859490672,1.6114491270548807,-127.66135606828978,Si O Si O
624,129 138 135 157,1.5966223841229183,1.5951653872644147,1.5804218658815339,96.84959328116231,O Si O Si
625,141 138 135 157,1.6161152122709295,1.5951653872644147,1.5804218658815339,-142.55269964832848,O Si O Si
626,145 138 135 157,1.6202120732285057,1.5951653872644147,1.5804218658815339,-23.468315330779603,O Si O Si
627,138 135 157 182,1.5951653872644147,1.5804218658815339,1.6055050217553213,-64.5699976220475,Si O Si O
628,138 135 157 203,1.5951653872644147,1.5804218658815339,1.6028550660480954,173.1903683142097,Si O Si O
629,138 135 157 207,1.5951653872644147,1.5804218658815339,1.6108194328876244,50.862278876257676,Si O Si O
630,129 138 141 142,1.5966223841229183,1.6161152122709295,1.6186836766061168,-141.58646549141196,O Si O Si
631,135 138 141 142,1.5951653872644147,1.6161152122709295,1.6186836766061168,100.42991817666946,O Si O Si
632,145 138 141 142,1.6202120732285057,1.6161152122709295,1.6186836766061168,-15.606874722856654,O Si O Si
633,138 141 142 139,1.6161152122709295,1.6186836766061168,1.6256921144391536,173.38626219225424,Si O Si O
634,138 141 142 143,1.6161152122709295,1.6186836766061168,1.6195655129374482,-64.53195614015236,Si O Si O
635,138 141 142 146,1.6161152122709295,1.6186836766061168,1.6111042854094142,48.90331576579693,Si O Si O
636,129 138 145 151,1.5966223841229183,1.6202120732285057,1.6138199961793933,-120.71123289859815,O Si O Si
637,135 138 145 151,1.5951653872644147,1.6202120732285057,1.6138199961793933,-2.657175875156393,O Si O Si
638,141 138 145 151,1.6161152122709295,1.6202120732285057,1.6138199961793933,113.03232067931364,O Si O Si
639,138 145 151 48,1.6202120732285057,1.6138199961793933,1.6043521712098254,88.73116387792982,Si O Si O
640,138 145 151 153,1.6202120732285057,1.6138199961793933,1.622780423463105,-31.29472787419664,Si O Si O
641,138 145 151 155,1.6202120732285057,1.6138199961793933,1.587879016148726,-153.03356031340476,Si O Si O
642,137 140 143 142,1.6255956859490672,1.5994053067232825,1.6195655129374482,67.12993401972848,O Si O Si
643,149 140 143 142,1.600042539968093,1.5994053067232825,1.6195655129374482,-167.48556830574034,O Si O Si
644,152 140 143 142,1.6114491270548807,1.5994053067232825,1.6195655129374482,-50.51026044340822,O Si O Si
645,140 143 142 139,1.5994053067232825,1.6195655129374482,1.6256921144391536,176.0645848056665,Si O Si O
646,140 143 142 141,1.5994053067232825,1.6195655129374482,1.6186836766061168,51.87003282343271,Si O Si O
647,140 143 142 146,1.5994053067232825,1.6195655129374482,1.6111042854094142,-60.2541074374153,Si O Si O
648,137 140 149 213,1.6255956859490672,1.600042539968093,1.601248414739196,-93.7923772809375,O Si O Si
649,143 140 149 213,1.5994053067232825,1.600042539968093,1.601248414739196,138.87874577663234,O Si O Si
650,152 140 149 213,1.6114491270548807,1.600042539968093,1.601248414739196,22.052442148797738,O Si O Si
651,140 149 213 92,1.600042539968093,1.601248414739196,1.621776855799016,-105.81391700194514,Si O Si O
652,140 149 213 199,1.600042539968093,1.601248414739196,1.6092172383486165,133.43208759857748,Si O Si O
653,140 149 213 204,1.600042539968093,1.601248414739196,1.6045623794039172,15.832486902165554,Si O Si O
654,137 140 152 205,1.6255956859490672,1.6114491270548807,1.6115049189418928,11.401806581064596,O Si O Si
655,143 140 152 205,1.5994053067232825,1.6114491270548807,1.6115049189418928,134.64592799032727,O Si O Si
656,149 140 152 205,1.600042539968093,1.6114491270548807,1.6115049189418928,-108.0058009190962,O Si O Si
657,140 152 205 153,1.6114491270548807,1.6115049189418928,1.6073513770830181,-58.38104503289191,Si O Si O
658,140 152 205 191,1.6114491270548807,1.6115049189418928,1.6029412931511642,67.37721949198739,Si O Si O
659,140 152 205 207,1.6114491270548807,1.6115049189418928,1.600087634106681,-176.0374524983605,Si O Si O
660,141 142 139 154,1.6186836766061168,1.6256921144391536,1.6237444000820744,-11.001059295919973,O Si O Si
661,143 142 139 154,1.6195655129374482,1.6256921144391536,1.6237444000820744,-136.09481530544463,O Si O Si
662,146 142 139 154,1.6111042854094142,1.6256921144391536,1.6237444000820744,106.44413971468833,O Si O Si
663,142 139 154 45,1.6256921144391536,1.6237444000820744,1.621503650673602,92.45629777167953,Si O Si O
664,142 139 154 136,1.6256921144391536,1.6237444000820744,1.5987002413954199,-21.094688575174494,Si O Si O
