,Index,Bond length 1,Bond length 2,Length 3,Bond name,Bond Angle
251,196 197 209,1.6464199646346562,1.6550289507025595,3.011272488990454,Si O Si,131.59597416717497
252,198 193 202,1.5990215567914214,1.5928511255715236,3.1616761190386757,Si O Si,164.22507138653717
253,198 194 209,1.612841448701268,1.609877350068207,3.038057344599373,Si O Si,141.02010865629688
255,198 211 200,1.6088284923121958,1.6164526333643578,2.8692425728389286,Si O Si,125.64841458456688
258,200 210 206,1.6458041819516442,1.6409288934131754,3.0663539496348866,Si O Si,137.79847047416538
260,202 191 205,1.629552363251521,1.6029412931511642,2.9858099635621342,Si O Si,134.94054935791803
262,202 204 213,1.604934029043208,1.6045623794039172,3.187097275936225,Si O Si,166.45379373610496
275,209 208 212,1.6260380307348088,1.5976644965105442,2.9123819852353585,Si O Si,129.22257150701992
288,7 0 3,1.6301185938865639,1.619761942546702,2.760150536063427,O Si O,116.27267142774748
289,11 0 3,1.6045247361191397,1.619761942546702,2.6852110996119603,O Si O,112.77566302263412
290,21 0 3,1.6192453809412082,1.619761942546702,2.56235131380582,O Si O,104.57526998535748
292,11 0 7,1.6045247361191397,1.6301185938865639,2.5622007702266782,O Si O,104.7639352687009
293,21 0 7,1.6192453809412082,1.6301185938865639,2.630244967892041,O Si O,108.08683472808384
296,21 0 11,1.6192453809412082,1.6045247361191397,2.6458794977937417,O Si O,110.31719714276318
300,5 1 2,1.6182631397549736,1.6185801498762606,2.627296084152902,O Si O,108.52171262273463
301,8 1 2,1.610730570644173,1.6185801498762606,2.5939996714130165,O Si O,106.88624521472883
302,12 1 2,1.6238222820274901,1.6185801498762606,2.6812484339031624,O Si O,111.56974668486956
304,8 1 5,1.610730570644173,1.6182631397549736,2.692911211734062,O Si O,113.01902998723477
305,12 1 5,1.6238222820274901,1.6182631397549736,2.5827012686551636,O Si O,105.61643164476214
308,12 1 8,1.6238222820274901,1.610730570644173,2.6700971430512555,O Si O,111.27614424681293
312,14 9 2,1.5990301853566025,1.614900456304629,2.5561455749165716,O Si O,105.37240248187624
313,23 9 2,1.6028584408454287,1.614900456304629,2.6810355897606195,O Si O,112.85714006440786
314,26 9 2,1.6093133453545276,1.614900456304629,2.658419687514723,O Si O,111.07902549550248
316,23 9 14,1.6028584408454287,1.5990301853566025,2.646878019152618,O Si O,111.5145524116333
317,26 9 14,1.6093133453545276,1.5990301853566025,2.6274045689479277,O Si O,109.95497750707891
320,26 9 23,1.6093133453545276,1.6028584408454287,2.567582835252166,O Si O,106.1320205171961
324,6 10 4,1.6129678329727293,1.6301102416524935,2.5889819292777605,O Si O,105.93685009187651
325,11 10 4,1.607525740317708,1.6301102416524935,2.7030483973516697,O Si O,113.20555081682862
