,Index,Bond length 1,Bond length 2,Length 3,Bond name
373,154 142 147,3.190283685,3.053976279,5.30175387,Si Si Si
374,142 147 156,3.053976279,3.002741372,5.091598566,Si Si Si
375,142 147 209,3.053976279,3.106076888,4.555630698,Si Si Si
376,142 154 190,3.190283685,3.108452917,5.528690851,Si Si Si
377,209 147 156,3.106076888,3.002741372,4.781790937,Si Si Si
378,147 156 151,3.002741372,3.154287729,4.577546487,Si Si Si
379,147 209 196,3.106076888,3.011272489,5.103964691,Si Si Si
380,147 209 198,3.106076888,3.038057345,5.442354348,Si Si Si
381,147 209 212,3.106076888,2.912381985,5.423832659,Si Si Si
382,205 151 156,3.03542963,3.154287729,5.403045915,Si Si Si
383,151 205 157,3.03542963,2.897275622,4.128854974,Si Si Si
384,151 205 202,3.03542963,2.985809964,5.879413026,Si Si Si
385,154 190 198,3.108452917,3.054252305,4.644511861,Si Si Si
386,205 157 176,2.897275622,2.757753389,5.128093522,Si Si Si
387,206 157 176,3.072135282,2.757753389,4.098008582,Si Si Si
388,157 176 166,2.757753389,2.908056385,4.582953838,Si Si Si
389,157 176 200,2.757753389,3.176914017,3.930654247,Si Si Si
390,206 157 205,3.072135282,2.897275622,4.467870615,Si Si Si
391,157 205 202,2.897275622,2.985809964,4.966924079,Si Si Si
392,157 206 185,3.072135282,2.995888164,4.913278783,Si Si Si
393,157 206 200,3.072135282,3.06635395,3.930654247,Si Si Si
394,163 174 170,3.089988446,2.980957991,5.047197284,Si Si Si
395,163 174 187,3.089988446,3.115948078,5.379503594,Si Si Si
396,170 166 167,3.030854867,2.885462938,4.283630731,Si Si Si
397,176 166 167,2.908056385,2.885462938,4.719660784,Si Si Si
398,185 166 167,3.059259029,2.885462938,5.384515268,Si Si Si
399,166 167 187,2.885462938,3.06119849,4.850280318,Si Si Si
400,176 166 170,2.908056385,3.030854867,4.486080443,Si Si Si
401,185 166 170,3.059259029,3.030854867,5.075363881,Si Si Si
402,166 170 169,3.030854867,2.960943128,4.863310916,Si Si Si
403,166 170 174,3.030854867,2.980957991,5.464063129,Si Si Si
404,185 166 176,3.059259029,2.908056385,4.855182429,Si Si Si
405,166 176 200,2.908056385,3.176914017,4.226576026,Si Si Si
406,166 185 206,3.059259029,2.995888164,4.314399605,Si Si Si
407,167 187 174,3.06119849,3.115948078,5.2777186,Si Si Si
408,167 187 202,3.06119849,3.03344394,4.468953653,Si Si Si
409,167 187 215,3.06119849,3.199396687,4.180652142,Si Si Si
410,200 169 170,3.159841776,2.960943128,4.526615287,Si Si Si
411,169 170 174,2.960943128,2.980957991,4.677044262,Si Si Si
412,169 200 176,3.159841776,3.176914017,4.885229619,Si Si Si
413,169 200 198,3.159841776,2.869242573,4.81640775,Si Si Si
414,169 200 206,3.159841776,3.06635395,5.746556022,Si Si Si
415,170 174 187,2.980957991,3.115948078,4.055519442,Si Si Si
416,174 187 202,3.115948078,3.03344394,5.568041935,Si Si Si
417,174 187 215,3.115948078,3.199396687,5.480132957,Si Si Si
418,176 200 198,3.176914017,2.869242573,5.650077811,Si Si Si
