,Index,Name,Bond length 1,Bond length 2,Bond length 3,Dihedral Angles
486,90 107 88 103,Si O Si O,1.5870533458954321,1.5925456446899584,1.6235058801975821,41.61801186118378
487,91 196 197 209,O Si O Si,1.6028691290099746,1.6464199646346562,1.6550289507025595,19.42924276653227
488,91 212 89 96,O Si O Si,1.6132264494305995,1.618705854117524,1.6403311224672308,-7.542962674957054
489,91 212 188 100,O Si O Si,1.6132264494305995,1.6192888119822137,1.6391739730860089,83.46159251656087
490,91 212 208 209,O Si O Si,1.6132264494305995,1.5976644965105442,1.6260380307348088,-1.7746030239186215
491,92 85 201 206,O Si O Si,1.6164229692593004,1.6304220406487597,1.631802263244932,-142.15270976743446
492,92 213 149 140,O Si O Si,1.621776855799016,1.601248414739196,1.600042539968093,105.81391700194514
493,92 213 204 202,O Si O Si,1.621776855799016,1.6045623794039172,1.604934029043208,-154.85599753460053
494,93 190 189 154,O Si O Si,1.630565566447974,1.6301117317383966,1.6438860810237432,-88.42634749833255
495,93 190 195 198,O Si O Si,1.630565566447974,1.6019554656741606,1.6027410772618147,-134.60395028068436
496,94 196 91 212,O Si O Si,1.646313038575786,1.6028691290099746,1.6132264494305995,-140.19346054624745
497,94 196 197 209,O Si O Si,1.646313038575786,1.6464199646346562,1.6550289507025595,130.74342488835453
498,95 88 103 96,O Si O Si,1.63626247762701,1.6235058801975821,1.6161520299654664,-47.448605480448684
499,95 100 98 215,O Si O Si,1.6360909604223606,1.6364735918302602,1.645380262019113,81.52499700526347
500,95 100 188 212,O Si O Si,1.6360909604223606,1.6391739730860089,1.6192888119822137,-21.102385109857266
501,96 89 212 188,Si O Si O,1.6403311224672308,1.618705854117524,1.6192888119822137,110.99020534397533
502,96 89 212 208,Si O Si O,1.6403311224672308,1.618705854117524,1.5976644965105442,-119.35081324406703
503,96 103 88 102,Si O Si O,1.6161520299654664,1.6235058801975821,1.6028746442569706,79.17428914721458
504,96 103 88 107,Si O Si O,1.6161520299654664,1.6235058801975821,1.5925456446899584,-168.14480927477896
505,97 52 48 151,O Si O Si,1.6322815847886047,1.6079719060170938,1.6043521712098254,26.200519833192363
506,97 100 98 215,O Si O Si,1.6269157095687314,1.6364735918302602,1.645380262019113,-157.94356991317449
507,97 100 188 212,O Si O Si,1.6269157095687314,1.6391739730860089,1.6192888119822137,-134.05902696664756
508,98 100 188 212,O Si O Si,1.6364735918302602,1.6391739730860089,1.6192888119822137,103.35365504534037
509,98 215 183 123,O Si O Si,1.645380262019113,1.6381140129189824,1.6398734169090907,-121.92947362715582
510,98 215 192 187,O Si O Si,1.645380262019113,1.6169878420103256,1.6246586903932845,177.426822857333
511,99 86 108 190,O Si O Si,1.5923040618247564,1.629266718517483,1.633493257250732,-108.82611001688387
512,100 95 88 102,Si O Si O,1.6360909604223606,1.63626247762701,1.6028746442569706,-12.028431659264323
513,100 95 88 103,Si O Si O,1.6360909604223606,1.63626247762701,1.6235058801975821,115.89752142411706
514,100 95 88 107,Si O Si O,1.6360909604223606,1.63626247762701,1.5925456446899584,-126.67924095474584
515,100 98 215 183,Si O Si O,1.6364735918302602,1.645380262019113,1.6381140129189824,-177.5157610701859
516,100 98 215 192,Si O Si O,1.6364735918302602,1.645380262019113,1.6169878420103256,52.80631858307338
517,100 188 212 208,Si O Si O,1.6391739730860089,1.6192888119822137,1.5976644965105442,-158.04004953605204
518,101 96 89 212,O Si O Si,1.5946995298337647,1.6403311224672308,1.618705854117524,-178.95482198078565
519,102 87 94 196,O Si O Si,1.6061690311640946,1.6668726068791107,1.646313038575786,-10.54039856525427
520,103 96 89 212,O Si O Si,1.6161520299654664,1.6403311224672308,1.618705854117524,-59.080664750276384
521,104 86 108 190,O Si O Si,1.6051571745531577,1.629266718517483,1.633493257250732,8.592634593682066
522,104 90 93 190,O Si O Si,1.614743042422612,1.6179700202059797,1.630565566447974,27.52102783684316
523,105 80 199 213,O Si O Si,1.6307035342481844,1.6054828478489107,1.6092172383486165,-10.794672957208853
524,105 86 108 190,O Si O Si,1.6107353912081765,1.629266718517483,1.633493257250732,132.54845713966492
525,106 85 92 213,O Si O Si,1.6140321351709566,1.6164229692593004,1.621776855799016,-103.1232940932191
526,106 85 201 206,O Si O Si,1.6140321351709566,1.6304220406487597,1.631802263244932,-24.05397351666896
527,106 90 93 190,O Si O Si,1.5966998948457407,1.6179700202059797,1.630565566447974,-93.17146062052055
528,107 90 93 190,O Si O Si,1.5870533458954321,1.6179700202059797,1.630565566447974,146.34231422424637
529,108 190 189 154,O Si O Si,1.633493257250732,1.6301117317383966,1.6438860810237432,152.56344106460605
530,108 190 195 198,O Si O Si,1.633493257250732,1.6019554656741606,1.6027410772618147,-23.23566915192348
531,109 110 111 117,O Si O Si,1.5729654717571397,1.6485663611522168,1.6118385124800387,-58.944662808522736
532,109 110 113 121,O Si O Si,1.5729654717571397,1.6604748343231899,1.6138551393017166,17.483834982213896
533,109 112 116 115,O Si O Si,1.8235989671672497,1.6783927731167623,1.5894971776026385,62.42304320032886
534,109 112 120 125,O Si O Si,1.8235989671672497,1.6469833329144858,1.5591542645192331,-162.53531413586254
535,109 112 158 174,O Si O Si,1.8235989671672497,1.88438849047927,1.58058670775135,-101.01267102369451
536,110 109 112 116,Si O Si O,1.5729654717571397,1.8235989671672497,1.6783927731167623,29.959684152622845
537,110 109 112 120,Si O Si O,1.5729654717571397,1.8235989671672497,1.6469833329144858,-82.30768482748523
538,110 109 112 158,Si O Si O,1.5729654717571397,1.8235989671672497,1.88438849047927,159.43476072913734
539,110 111 117 114,Si O Si O,1.6485663611522168,1.6118385124800387,1.616073134336774,18.860616688438725
540,110 111 117 119,Si O Si O,1.6485663611522168,1.6118385124800387,1.6580538592777003,145.0237869967864
541,110 111 117 129,Si O Si O,1.6485663611522168,1.6118385124800387,1.6251279476199696,-94.03540821811633
542,110 113 121 136,Si O Si O,1.6604748343231899,1.6138551393017166,1.6180594665819237,147.72702088334827
543,110 113 121 159,Si O Si O,1.6604748343231899,1.6138551393017166,1.5751784643662838,37.065679055288385
544,110 118 27 132,Si O Si O,1.6443111916911088,1.5961855720603266,1.6005432192561875,116.104007884435
545,111 110 109 112,O Si O Si,1.6485663611522168,1.5729654717571397,1.8235989671672497,0.020846194405141804
546,111 110 113 121,O Si O Si,1.6485663611522168,1.6604748343231899,1.6138551393017166,-105.99215465138656
547,111 117 114 115,O Si O Si,1.6118385124800387,1.616073134336774,1.6286265629443768,25.78471230705701
548,111 117 119 127,O Si O Si,1.6118385124800387,1.6580538592777003,1.6277105654167185,144.9492246160885
549,111 117 129 138,O Si O Si,1.6118385124800387,1.6251279476199696,1.5966223841229183,-20.60310625468042
550,112 109 110 113,Si O Si O,1.8235989671672497,1.5729654717571397,1.6604748343231899,-123.78862524792453
551,112 109 110 118,Si O Si O,1.8235989671672497,1.5729654717571397,1.6443111916911088,122.2044949145426
552,112 116 115 114,Si O Si O,1.6783927731167623,1.5894971776026385,1.6286265629443768,-107.13019497040193
553,112 116 115 131,Si O Si O,1.6783927731167623,1.5894971776026385,1.6126816664612427,135.59882153390083
554,112 116 115 160,Si O Si O,1.6783927731167623,1.5894971776026385,1.641548500316426,20.565128510265737
555,112 120 125 124,Si O Si O,1.6469833329144858,1.5591542645192331,1.6310191360306452,-139.7968810467039
556,112 120 125 134,Si O Si O,1.6469833329144858,1.5591542645192331,1.6424806983141234,106.4661181287329
557,112 120 125 148,Si O Si O,1.6469833329144858,1.5591542645192331,1.6228140113473355,-12.972750624518463
